time:,neoclosenofan
0,48.2
2.020736694,49.6
4.045071602,48.2
6.071762562,49.6
8.095686913,48.7
10.12101698,48.7
12.14679408,48.2
14.17119789,48.2
16.19612694,47.7
18.22139525,47.7
20.24384165,47.7
22.26817584,48.7
24.29308128,48.7
26.31966066,49.1
28.34228134,47.7
30.37780213,48.7
32.40140605,47.7
34.42809892,48.7
36.45817828,48.7
38.48419809,48.7
40.50931859,48.7
42.5341599,47.7
44.55655146,48.2
46.58420324,48.2
48.61006737,47.7
50.63874602,48.2
52.66799378,48.2
54.69987607,48.2
56.7227304,48.7
58.74719191,48.2
60.77579951,48.7
62.80206752,47.7
64.82436228,47.2
66.84944773,49.1
68.87526989,48.7
70.90016794,47.7
72.92602921,49.1
74.95498586,48.7
76.98507094,48.2
79.00839996,48.7
81.03934765,48.2
83.06392407,48.2
85.09380555,49.1
87.12317681,48.2
89.14800262,48.2
91.17017341,47.7
93.19355845,48.2
95.21937537,49.1
97.24554706,49.1
99.27073121,48.7
101.3000212,51.6
103.361932,52.5
105.4151523,53.5
107.474061,54
109.5341518,54.5
111.5914688,54.5
113.6664841,55
115.723562,55.5
117.7821348,54.5
119.8392208,55
121.9075603,55
123.9901962,56.4
126.0479803,56
128.1105132,56.4
130.1863515,57.4
132.2584975,56
134.3289132,56.9
136.3872383,57.4
138.4582112,57.4
140.5158081,57.9
142.5744786,56.9
144.6344571,56.9
146.6991651,56.4
148.7743652,57.4
150.8505163,57.9
152.9194784,57.9
154.9751496,57.9
157.0394659,58.4
159.0951812,58.4
161.1743317,58.4
163.2315328,57.9
165.3182302,57.9
167.3824825,57.4
169.4425461,58.9
171.5142348,58.4
173.5862145,58.9
175.6551635,58.9
177.734206,58.9
179.7955031,58.9
181.8501837,58.9
183.9151182,58.4
185.9982083,58.9
188.0631361,58.9
190.1265202,59.9
192.1951437,58.9
194.2544975,59.9
196.3151958,59.9
198.3796303,59.4
200.4516141,59.9
202.519079,59.4
204.5780571,58.9
206.6351895,60.3
208.7021818,59.9
210.7621331,58.9
212.8193159,59.9
214.8751311,59.4
216.9462221,59.9
219.0037351,60.8
221.0819895,59.9
223.143492,59.9
225.1994798,60.3
227.2671742,60.8
229.3231056,60.8
231.3955112,60.8
233.4511468,61.8
235.5100615,61.3
237.5671155,60.3
239.6378901,60.3
241.7019358,61.3
243.7621684,60.8
245.8338709,59.9
247.8941038,61.8
249.9526403,61.8
252.0101364,61.8
254.0819201,61.3
256.1619127,61.3
258.2299261,60.8
260.3062618,61.3
262.3630891,62.3
264.4195406,61.8
266.4784362,61.3
268.5351789,60.8
270.6031678,62.8
272.6751788,62.8
274.7472389,61.3
276.8222868,60.8
278.8795578,62.3
280.9542015,61.8
283.0231624,61.3
285.0831769,61.3
287.1475589,61.3
289.2102063,61.3
291.2702725,61.3
293.3462543,61.3
295.4342337,61.3
297.5021651,61.8
299.5591393,62.8
301.618144,60.8
303.6902573,61.3
305.7594728,61.8
307.8155205,62.3
309.890208,62.8
311.9582198,63.3
314.0222154,62.3
316.0903852,62.3
318.1582603,62.3
320.2184563,61.8
322.283457,62.8
324.3542399,62.3
326.4114928,62.8
328.4741542,61.8
330.5422354,63.3
332.6142313,62.3
334.6820672,61.8
336.7475057,62.8
338.8182948,63.3
340.8836226,62.8
342.9418705,62.8
345.0222442,61.8
347.0861623,61.8
349.1590695,63.3
351.2345417,63.3
353.296509,62.3
355.3783972,63.3
357.4582405,62.3
359.5153704,63.3
361.5825057,63.7
363.6511667,63.3
365.7152202,63.3
367.7872202,63.3
369.857909,63.3
371.9154902,63.3
373.9862874,64.2
376.0434642,62.8
378.1151896,62.8
380.1862421,63.3
382.2742212,62.8
384.3422096,63.7
386.4062443,63.3
388.4738636,63.3
390.5544944,62.3
392.6232004,63.7
394.6809099,63.3
396.7582815,63.3
398.8274632,62.3
400.9066579,60.8
402.9289281,59.9
404.9562697,58.9
406.9813426,57.9
409.0064242,56.9
411.0312076,58.4
413.0563364,57.4
415.0785859,56.4
417.1031201,56
419.1240578,56
421.1521668,56.4
423.1784058,56.4
425.2008855,56.4
427.2238843,56
429.2483568,55.5
431.2708063,56
433.2954791,55
435.3186004,56
437.3520148,55.5
439.3791597,55
441.4043987,55
443.4296827,54.5
445.4587626,55.5
447.4831655,55
449.5083096,55
451.5323312,55
453.5574343,54.5
455.5818644,54.5
457.6081028,54
459.637141,54.5
461.6626892,55
463.6951413,54
465.7238343,54
467.7473738,54.5
469.776365,54.5
471.8039711,54
473.8282156,54.5
475.8533618,54.5
477.8777721,54
479.9027736,54
481.9273641,54
483.9522164,54
485.9743001,54
487.9970121,54
490.0222633,55.5
492.0472066,54
494.0730464,52.5
496.0980947,53.5
498.1232841,53.5
500.1470945,53.5
