time:,neoopennofan
0,49.1
2.025232792,49.1
4.045054674,50.6
6.065953255,49.6
8.085410118,50.1
10.10387802,49.1
12.12159228,48.7
14.1464901,48.7
16.16605282,49.6
18.18821979,50.1
20.211761,50.1
22.23220778,49.6
24.25411701,49.6
26.27418876,49.1
28.2974987,49.1
30.3190341,49.6
32.33779097,50.1
34.35659719,49.6
36.37488937,50.1
38.39599919,50.1
40.41659093,49.1
42.43682551,47.7
44.46047497,49.6
46.4786458,49.6
48.5049727,49.6
50.52442002,50.1
52.54391813,50.6
54.5667758,48.7
56.58611631,49.6
58.60951877,48.7
60.63489366,50.1
62.65701461,48.7
64.68241715,51.1
66.70278454,50.6
68.72423339,50.6
70.74477029,49.1
72.76919198,49.6
74.79200697,50.1
76.81312275,50.1
78.83210087,50.6
80.85235167,50.1
82.87216401,51.1
84.89460921,49.6
86.91082144,48.2
88.93478918,50.1
90.95368028,49.6
92.97833061,50.1
94.9973073,50.1
97.01573658,50.6
99.03554487,50.6
101.0544481,51.6
103.110091,53
105.177156,53.5
107.2516148,53.5
109.3256576,53
111.3973186,54
113.467788,55
115.5415609,55.5
117.6367574,54.5
119.7060726,55
121.7918043,55.5
123.8583832,55.5
125.9155426,55
127.9868605,55.5
130.0403814,55
132.1170819,56
134.1968544,55
136.2687745,55.5
138.3423839,56
140.4053934,55.5
142.5058839,56
144.5974472,56.4
146.6693981,56
148.7292869,55
150.7995074,56
152.8546109,55
154.9533582,55.5
157.0507951,55.5
159.1345782,56.4
161.2010286,56.9
163.2647583,56.9
165.3213224,56.4
167.4213736,56.9
169.5037339,56.4
171.5757821,55.5
173.667733,56.9
175.7396092,56.4
177.7970769,57.4
179.8687322,56.9
181.9416203,56.4
183.9931929,56.9
186.0615482,56.9
188.1524024,55.5
190.2554548,56.4
192.317641,56.9
194.3747923,57.9
196.4371099,57.9
198.4826605,57.9
200.5729074,57.4
202.6617532,56.9
204.7333481,56.9
206.8063896,56.9
208.8589797,56.9
210.9300847,56.9
212.983381,56.4
215.0651515,56.9
217.1552052,56.9
219.2245669,57.9
221.2933192,57.9
223.3648124,58.9
225.4222302,57.4
227.4546659,58.4
229.5487158,57.4
231.6331143,57.9
233.7021976,56.4
235.7704618,57.4
237.8546505,57.9
239.9282291,57.4
241.9931953,57.4
244.0662539,58.9
246.1523733,56.9
248.2214658,58.4
250.3093023,58.4
252.4053619,57.9
254.4913099,57.9
256.5629332,58.4
258.6216843,58.4
260.6964529,57.9
262.7838142,57.4
264.8342273,57.4
266.9120624,57.4
268.9808209,57.4
271.0568302,57.9
273.1136162,57.9
275.1909761,57.9
277.2408943,58.4
279.3213515,58.4
281.3898449,58.4
283.4609971,58.9
285.556874,57.4
287.636971,57.9
289.7027276,57.4
291.795737,58.4
293.8923872,57.4
295.9418101,57.4
298.00717,58.4
300.0814931,58.4
302.1419601,57.9
304.1893971,56.9
306.2558591,57.9
308.2828619,58.9
310.3730106,58.4
312.4375958,58.4
314.5066335,58.4
316.564996,57.4
318.6477876,58.9
320.7308736,57.9
322.7980747,57.9
324.8862624,58.4
326.9603388,58.4
329.0569904,58.4
331.1211147,58.4
333.1941011,58.9
335.2748311,58.9
337.3534546,59.4
339.4171393,58.9
341.4907022,58.4
343.5682409,58.4
345.638042,59.4
347.7077711,59.4
349.789927,58.9
351.874655,58.9
353.9435458,59.9
356.03284,58.9
358.1124401,58.9
360.1690855,59.4
362.245265,59.4
364.2889361,59.9
366.3603954,59.9
368.4393954,57.9
370.5118055,59.4
372.5809383,58.9
374.6463575,60.3
376.7072196,58.9
378.7824411,59.4
380.8366077,58.9
382.9013138,59.4
384.9657722,58.4
387.0518031,59.4
389.1084812,60.3
391.1863422,59.4
393.257092,59.4
395.3504369,59.4
397.4438338,58.9
399.5256565,59.9
401.6139274,58.4
403.632695,56.4
405.6542728,55.5
407.6712196,55.5
409.691328,55
411.71437,55
413.7333255,55
415.7538857,54.5
417.7762895,55
419.7997713,54
421.8160341,53.5
423.8386197,55
425.8659985,54.5
427.8845677,55
429.9033351,55
431.9242592,54
433.9485636,53
435.9698443,53.5
437.9942894,54
440.0152831,53
442.039973,54
444.0682373,53
446.0901885,53.5
448.1089776,52.5
450.1329269,53
452.1582942,51.6
454.1832941,53
456.2043755,52.1
458.2231834,53.5
460.2445188,53.5
462.2658579,53.5
464.2874956,52.1
466.3101089,52.5
468.3370383,53
470.356879,52.5
472.3819737,52.5
474.4024827,55
476.4216113,54.5
478.4397984,53.5
480.4589903,51.6
482.4830813,52.1
484.5053122,53.5
486.5290909,53.5
488.5483997,53.5
490.5683315,52.1
492.5906672,54
494.6135569,51.6
496.6367288,52.1
498.6552696,52.1
